user_id,name,city,age_group,account_age_days,kyc_status,registration_date
USR00203,Oviya Keer,Nagpur,60+,1042,Full KYC,2023-08-06
USR00204,Oni Khosla,Mumbai,60+,663,Full KYC,2024-08-19
USR00205,Veer Menon,Pune,18-25,831,Full KYC,2024-03-04
USR00206,Yachana Das,Indore,26-35,1171,Minimal KYC,2023-03-30
USR00207,Aryan Wadhwa,Pune,18-25,517,Non-KYC,2025-01-12
USR00208,Xalak Toor,Indore,18-25,926,Non-KYC,2023-11-30
USR00209,Mahika Agarwal,Lucknow,60+,733,Full KYC,2024-06-10
USR00210,Nitesh Brar,Bangalore,36-45,819,Minimal KYC,2024-03-16
USR00211,Eshana Deshpande,Pune,60+,1129,Full KYC,2023-05-11
USR00212,Jonathan Garg,Hyderabad,36-45,1488,Minimal KYC,2022-05-17
USR00213,Nihal Kalla,Hyderabad,36-45,726,Full KYC,2024-06-17
USR00214,Yash Sarma,Jaipur,46-60,1273,Full KYC,2022-12-18
USR00215,Sachi Pant,Pune,18-25,1038,Full KYC,2023-08-10
USR00216,Ranbir Krishnamurthy,Delhi,46-60,987,Minimal KYC,2023-09-30
USR00217,Vansha Sahni,Bhopal,36-45,1257,Full KYC,2023-01-03
USR00218,Ojas Kaur,Mumbai,18-25,503,Full KYC,2025-01-26
USR00219,Hardik Garde,Chennai,26-35,580,Full KYC,2024-11-10
USR00220,Aahana Lalla,Surat,36-45,1307,Full KYC,2022-11-14
USR00221,Janya Dyal,Bangalore,46-60,52,Full KYC,2026-04-22
USR00222,Sneha Gokhale,Jaipur,46-60,1811,Full KYC,2021-06-28
USR00223,Jackson Pant,Jaipur,18-25,831,Full KYC,2024-03-04
USR00224,Veer Raj,Delhi,18-25,791,Non-KYC,2024-04-13
USR00225,Christopher Kale,Indore,26-35,1661,Minimal KYC,2021-11-25
USR00226,Ubika Saran,Jaipur,18-25,1378,Minimal KYC,2022-09-04
USR00227,Girik Nadkarni,Bhopal,36-45,1069,Full KYC,2023-07-10
USR00228,Warhi Ghosh,Nagpur,60+,1812,Non-KYC,2021-06-27
USR00229,Yutika Basu,Bangalore,46-60,925,Full KYC,2023-12-01
USR00230,Odika Bains,Bangalore,18-25,881,Full KYC,2024-01-14
USR00231,Sarthak Varughese,Pune,36-45,719,Full KYC,2024-06-24
USR00232,Dominic Mander,Indore,18-25,1598,Full KYC,2022-01-27
USR00233,Janya Mane,Indore,36-45,720,Minimal KYC,2024-06-23
USR00234,Harini Pau,Hyderabad,26-35,1321,Full KYC,2022-10-31
USR00235,Charles Sunder,Surat,18-25,1470,Minimal KYC,2022-06-04
USR00236,Ishwar Khare,Chennai,60+,1096,Full KYC,2023-06-13
USR00237,Jacob Sachdev,Indore,46-60,426,Full KYC,2025-04-13
USR00238,Nandini Kalita,Nagpur,26-35,1355,Full KYC,2022-09-27
USR00239,Advay Rajan,Indore,26-35,528,Full KYC,2025-01-01
USR00240,Sachi Sachar,Bhopal,26-35,756,Full KYC,2024-05-18
USR00241,Bhavna Palan,Kanpur,26-35,805,Full KYC,2024-03-30
USR00242,Nakul Agate,Indore,46-60,999,Full KYC,2023-09-18
USR00243,Unnati Loyal,Mumbai,26-35,447,Full KYC,2025-03-23
USR00244,Finn Deol,Lucknow,36-45,1249,Minimal KYC,2023-01-11
USR00245,Rajata Dixit,Kanpur,46-60,1679,Full KYC,2021-11-07
USR00246,Fariq Krishnamurthy,Kanpur,26-35,442,Full KYC,2025-03-28
USR00247,Chaman Bose,Pune,26-35,758,Minimal KYC,2024-05-16
USR00248,Naksh Choudhry,Kanpur,18-25,790,Full KYC,2024-04-14
USR00249,Alka Krishnamurthy,Kolkata,18-25,486,Full KYC,2025-02-12
USR00250,Chandani Chandran,Bhopal,46-60,768,Non-KYC,2024-05-06
USR00251,Indira Som,Hyderabad,26-35,1601,Full KYC,2022-01-24
USR00252,Vasana Shankar,Bhopal,46-60,125,Full KYC,2026-02-08
USR00253,Owen Khatri,Chennai,36-45,1243,Full KYC,2023-01-17
USR00254,Shravya Ratta,Bhopal,26-35,1422,Minimal KYC,2022-07-22
USR00255,Siya Mangal,Hyderabad,18-25,308,Minimal KYC,2025-08-09
USR00256,Ranbir Nigam,Surat,26-35,902,Full KYC,2023-12-24
USR00257,Chakrika Narain,Kolkata,36-45,91,Full KYC,2026-03-14
USR00258,Jacob Apte,Pune,18-25,758,Full KYC,2024-05-16
USR00259,Shivani Setty,Kanpur,36-45,728,Full KYC,2024-06-15
USR00260,Chaman Kulkarni,Chennai,60+,1665,Full KYC,2021-11-21
USR00261,Udyati Raj,Kolkata,60+,1286,Minimal KYC,2022-12-05
USR00262,Umang Kashyap,Chennai,18-25,294,Full KYC,2025-08-23
USR00263,Jagdish Dey,Delhi,36-45,747,Minimal KYC,2024-05-27
USR00264,Yoshita Vala,Bangalore,60+,1617,Full KYC,2022-01-08
USR00265,Krishna Sant,Pune,18-25,1420,Full KYC,2022-07-24
USR00266,Wakeeta Palan,Delhi,60+,1122,Full KYC,2023-05-18
USR00267,Yashoda Issac,Kolkata,36-45,1078,Full KYC,2023-07-01
USR00268,Anamika Kar,Lucknow,36-45,1522,Minimal KYC,2022-04-13
USR00269,Vedant Vasa,Kolkata,60+,1204,Minimal KYC,2023-02-25
USR00270,Jai Singhal,Jaipur,18-25,1092,Full KYC,2023-06-17
USR00271,Vamakshi Lata,Kolkata,60+,1095,Non-KYC,2023-06-14
USR00272,Hemangini Buch,Hyderabad,36-45,427,Full KYC,2025-04-12
USR00273,Aarnav Prasad,Mumbai,46-60,1186,Minimal KYC,2023-03-15
USR00274,Barkha Sule,Mumbai,60+,762,Full KYC,2024-05-12
USR00275,Kabir Nayar,Indore,60+,687,Non-KYC,2024-07-26
USR00276,Nitesh Doctor,Surat,26-35,1062,Minimal KYC,2023-07-17
USR00277,Nihal Pant,Chennai,46-60,521,Minimal KYC,2025-01-08
USR00278,Samuel Wagle,Delhi,36-45,1283,Full KYC,2022-12-08
USR00279,Garima Andra,Nagpur,36-45,1706,Full KYC,2021-10-11
USR00280,Upkaar Dhar,Surat,18-25,1446,Minimal KYC,2022-06-28
USR00281,Wyatt Thaman,Lucknow,36-45,663,Full KYC,2024-08-19
USR00282,Jagvi Swamy,Jaipur,36-45,58,Full KYC,2026-04-16
USR00283,Ganga Raju,Surat,46-60,368,Full KYC,2025-06-10
USR00284,Madhavi Kapur,Chennai,46-60,1418,Full KYC,2022-07-26
USR00285,Chanakya Dani,Lucknow,36-45,529,Full KYC,2024-12-31
USR00286,Nandini Contractor,Jaipur,26-35,1380,Non-KYC,2022-09-02
USR00287,Pranav Tiwari,Hyderabad,46-60,1185,Full KYC,2023-03-16
USR00288,Yashawini Taneja,Surat,46-60,1305,Full KYC,2022-11-16
USR00289,Harita Ramakrishnan,Surat,26-35,474,Full KYC,2025-02-24
USR00290,Rehaan Hegde,Nagpur,60+,196,Full KYC,2025-11-29
USR00291,Yamini Shenoy,Pune,46-60,1584,Full KYC,2022-02-10
USR00292,Ria Pandey,Jaipur,18-25,1504,Full KYC,2022-05-01
USR00293,Ekapad Divan,Pune,36-45,783,Full KYC,2024-04-21
USR00294,Aahana Konda,Hyderabad,46-60,1111,Minimal KYC,2023-05-29
USR00295,Avi Palla,Kanpur,60+,485,Full KYC,2025-02-13
USR00296,Chandresh Lalla,Nagpur,36-45,1414,Minimal KYC,2022-07-30
USR00297,Yug Pau,Ahmedabad,46-60,416,Full KYC,2025-04-23
USR00298,Falguni Sinha,Ahmedabad,26-35,219,Full KYC,2025-11-06
USR00299,Isaac Shukla,Jaipur,46-60,1561,Full KYC,2022-03-05
USR00300,Urishilla Chandran,Kanpur,26-35,853,Full KYC,2024-02-11
USR00301,Jacob Jhaveri,Surat,18-25,1170,Non-KYC,2023-03-31
USR00302,Nandini Puri,Pune,60+,1609,Non-KYC,2022-01-16
USR00303,Rohan Vora,Surat,60+,202,Full KYC,2025-11-23
USR00304,Ubika Nadkarni,Chennai,18-25,1202,Full KYC,2023-02-27
USR00305,Vamakshi Raghavan,Bhopal,26-35,1266,Non-KYC,2022-12-25
USR00306,Atharv Kari,Surat,36-45,1282,Full KYC,2022-12-09
USR00307,Parth Mall,Hyderabad,26-35,1712,Non-KYC,2021-10-05
USR00308,Chandresh Agate,Bangalore,18-25,1455,Full KYC,2022-06-19
USR00309,Bhavya Radhakrishnan,Mumbai,26-35,1358,Minimal KYC,2022-09-24
USR00310,Chatura Som,Ahmedabad,60+,1468,Non-KYC,2022-06-06
USR00311,Naksh Mallick,Bhopal,18-25,1619,Full KYC,2022-01-06
USR00312,Owen Gour,Ahmedabad,46-60,685,Minimal KYC,2024-07-28
USR00313,Ronith Johal,Indore,60+,1000,Full KYC,2023-09-17
USR00314,Leena Rana,Hyderabad,46-60,765,Full KYC,2024-05-09
USR00315,Geetika Sheth,Ahmedabad,46-60,387,Full KYC,2025-05-22
USR00316,Meera Kala,Hyderabad,26-35,697,Full KYC,2024-07-16
USR00317,Rushil Garde,Surat,18-25,1175,Full KYC,2023-03-26
USR00318,Chandran Khosla,Indore,18-25,119,Full KYC,2026-02-14
USR00319,Lakshit Chakraborty,Kanpur,46-60,1369,Full KYC,2022-09-13
USR00320,Dhruv Deshpande,Hyderabad,26-35,761,Full KYC,2024-05-13
USR00321,Yahvi Pillay,Kanpur,60+,769,Non-KYC,2024-05-05
USR00322,Zayan Kamdar,Ahmedabad,18-25,531,Full KYC,2024-12-29
USR00323,Urmi Loke,Jaipur,26-35,1254,Full KYC,2023-01-06
USR00324,Baljiwan Dash,Indore,18-25,1777,Full KYC,2021-08-01
USR00325,Gautam Doshi,Ahmedabad,26-35,781,Full KYC,2024-04-23
USR00326,Ojas Bala,Kanpur,46-60,1611,Full KYC,2022-01-14
USR00327,Qasim Cheema,Surat,60+,419,Non-KYC,2025-04-20
USR00328,Tanvi Venkataraman,Jaipur,60+,285,Full KYC,2025-09-01
USR00329,Harrison Mandal,Chennai,46-60,479,Full KYC,2025-02-19
USR00330,Nikita Sagar,Nagpur,60+,827,Minimal KYC,2024-03-08
USR00331,Omkaar Batra,Kolkata,60+,906,Full KYC,2023-12-20
USR00332,Radhika Sastry,Ahmedabad,26-35,1045,Full KYC,2023-08-03
USR00333,Neel Dalal,Lucknow,46-60,1118,Full KYC,2023-05-22
USR00334,Yutika Khatri,Ahmedabad,36-45,1292,Full KYC,2022-11-29
USR00335,Odika Vaidya,Kanpur,26-35,882,Minimal KYC,2024-01-13
USR00336,Noah Parsa,Bhopal,36-45,1270,Non-KYC,2022-12-21
USR00337,Vanya Kannan,Kanpur,60+,824,Full KYC,2024-03-11
USR00338,Henry Raj,Ahmedabad,26-35,1663,Full KYC,2021-11-23
USR00339,Rayaan Bakshi,Pune,46-60,540,Full KYC,2024-12-20
USR00340,Benjamin Narang,Delhi,36-45,852,Minimal KYC,2024-02-12
USR00341,Aashi Shanker,Hyderabad,36-45,738,Non-KYC,2024-06-05
USR00342,Isaiah Loyal,Chennai,36-45,800,Full KYC,2024-04-04
USR00343,Qushi Dhingra,Indore,60+,1026,Minimal KYC,2023-08-22
USR00344,Kabir Mallick,Delhi,26-35,743,Minimal KYC,2024-05-31
USR00345,Balendra Chakrabarti,Bangalore,26-35,1198,Full KYC,2023-03-03
USR00346,Orinder Pal,Kolkata,26-35,486,Full KYC,2025-02-12
USR00347,Ishita Maharaj,Lucknow,26-35,80,Full KYC,2026-03-25
USR00348,Sara Raman,Delhi,46-60,1499,Minimal KYC,2022-05-06
USR00349,Netra Sandal,Kolkata,36-45,517,Full KYC,2025-01-12
USR00350,Chatura Hora,Jaipur,46-60,1401,Full KYC,2022-08-12
USR00351,Radha Sharma,Kolkata,18-25,1604,Minimal KYC,2022-01-21
USR00352,Vyanjana Ranganathan,Hyderabad,46-60,703,Full KYC,2024-07-10
